R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	
4.17582	5.61154	-0.0130572	-5.49451	-4.26374	3.8967	5.49451	-0.0134782	-5.41044	-3.93297	-1237.4	43.04	-349.7	-1517.16	252.86	-150.64	287.83	-266.31	
3.56044	5.61154	-0.0128683	-5.49451	-3.73626	3.45714	5.49451	-0.0132205	-5.41044	-3.40549	-1032.96	37.66	-328.18	-1546.75	234.03	-61.87	137.19	-395.43	
2.94505	5.61154	-0.0126277	-5.49451	-2.94505	2.66593	5.58242	-0.0129284	-5.49835	-2.61429	-532.62	-26.9	-306.66	-1261.61	349.7	-24.21	0	-158.71	
2.06593	5.61154	-0.0124903	-5.58242	-2.15385	1.87473	5.58242	-0.0127652	-5.58626	-1.82308	-793.55	45.73	-150.64	-1229.33	285.14	-104.91	64.56	-45.73	
1.18681	5.61154	-0.0123958	-5.58242	-1.18681	0.907692	5.49451	-0.0124387	-5.58626	-0.856044	-718.23	32.28	-72.63	-1102.9	371.22	-48.42	-271.69	780.1	
0.131868	5.52363	-0.012413	-5.58242	-0.131868	-0.0593407	5.49451	-0.0122841	-5.58626	0.110989	-481.51	-26.9	112.98	-828.52	263.62	-83.39	-282.45	56.49	
-0.835165	5.61154	-0.0125418	-5.58242	0.923077	-1.02637	5.49451	-0.0122927	-5.58626	1.16593	-629.46	21.52	-21.52	-538	441.16	-8.07	-314.73	416.95	
-1.89011	5.61154	-0.0127652	-5.58242	1.97802	-1.99341	5.49451	-0.01237	-5.58626	2.13297	-976.47	-29.59	34.97	-320.11	454.61	-13.45	-285.14	581.04	
-2.68132	5.61154	-0.013126	-5.58242	2.85714	-2.78462	5.49451	-0.0124302	-5.49835	3.01209	-454.61	0	-115.67	591.8	1049.1	-16.14	-225.96	201.75	
-3.38462	5.61154	-0.0133579	-5.58242	3.82418	-3.48791	5.49451	-0.0125934	-5.49835	3.62747	-449.23	-59.18	-78.01	-629.46	575.66	-13.45	-172.16	887.7	
-3.91209	5.61154	-0.01365	-5.49451	4	-4.01538	5.58242	-0.0127136	-5.49835	4.24286	-731.68	13.45	-121.05	129.12	303.97	-29.59	-8.07	400.81	
-4.35165	5.61154	-0.0138304	-5.49451	4.52747	-4.45495	5.58242	-0.0129885	-5.41044	4.59451	-53.8	21.52	-34.97	-2.69	629.46	-75.32	131.81	890.39	
-4.52747	5.52363	-0.013985	-5.58242	4.7033	-4.80659	5.49451	-0.013126	-5.49835	4.77033	-172.16	26.9	-78.01	242.1	363.15	-118.36	236.72	903.84	
-4.7033	5.61154	-0.0139936	-5.49451	4.52747	-4.89451	5.49451	-0.0132376	-5.41044	4.94615	-489.58	8.07	-78.01	1350.38	911.91	-64.56	185.61	992.61	
-4.87912	5.61154	-0.0139764	-5.58242	5.05495	-4.89451	5.58242	-0.0133493	-5.41044	5.03407	-508.41	26.9	-306.66	613.32	720.92	-99.53	274.38	965.71	
-4.79121	5.61154	-0.0138561	-5.40659	5.05495	-4.89451	5.49451	-0.0133665	-5.41044	5.03407	-529.93	32.28	-139.88	-941.5	1175.53	-104.91	279.76	1312.72	
-4.7033	5.61154	-0.0137788	-5.49451	4.52747	-4.80659	5.58242	-0.0133493	-5.32253	4.85824	-511.1	29.59	-392.74	1269.68	1237.4	-69.94	384.67	1242.78	
-4.43956	5.61154	-0.0135383	-5.49451	4.43956	-4.54286	5.58242	-0.0133407	-5.32253	4.59451	-142.57	29.59	-371.22	484.2	831.21	-147.95	459.99	1032.96	
-4	5.61154	-0.0133407	-5.40659	4.08791	-4.1033	5.49451	-0.0131174	-5.32253	4.06703	-212.51	37.66	-403.5	156.02	933.43	-112.98	451.92	1312.72	
-3.47253	5.61154	-0.0130315	-5.40659	3.47253	-3.57582	5.49451	-0.0129713	-5.41044	3.45165	-204.44	32.28	-543.38	145.26	1084.07	-145.26	333.56	1210.5	
-2.85714	5.61154	-0.0127909	-5.40659	2.76923	-2.87253	5.49451	-0.0127308	-5.32253	2.83626	-107.6	2.69	-567.59	-134.5	1102.9	-59.18	322.8	949.57	
-2.06593	5.61154	-0.0125246	-5.40659	1.89011	-1.99341	5.49451	-0.0125676	-5.41044	1.95714	-166.78	40.35	-610.63	-177.54	841.97	-115.67	282.45	930.74	
