time	COG_x	COG_y	COG_z	COG_xx	COG_yy	COG_zz	p_x	p_y	p_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
1.15	-0.000494637	0.060307	0.227345	-0.000216469	-0.012033	0.227432	-0.000278168	0.07234	-8.68138e-05	0.0298479	0.0710153	0.310935	0.00158092	-0.0554434	0.0247941	-0.122404	-0.168385	-1.3822	-0.000355093	-0.0413142	0.00432102	-0.120976	-0.345534	-0.856379	
1.175	-0.000173964	0.0590071	0.227287	0.000104204	-0.0133329	0.227374	-0.000278168	0.07234	-8.68138e-05	0.0303191	0.0690966	0.311109	0.018851	-0.0767457	0.00696598	0.690803	-0.852092	-0.713125	0.0128269	-0.0519944	-0.00233364	0.527281	-0.427208	-0.266186	
1.2	-0.000197814	0.0570375	0.227224	8.03544e-05	-0.0153025	0.227311	-0.000278168	0.07234	-8.68138e-05	0.0302921	0.0662037	0.311107	-0.00108327	-0.115718	-7.07355e-05	-0.797371	-1.55891	-0.281469	-0.000953998	-0.078787	-0.00250654	-0.551237	-1.0717	-0.00691603	
1.225	0.00011539	0.0553842	0.227036	0.000393558	-0.0169558	0.227123	-0.000278168	0.07234	-8.68138e-05	0.0307165	0.0637674	0.310761	0.0169766	-0.0974503	-0.0138351	0.722395	0.730725	-0.550575	0.0125282	-0.0661299	-0.00751295	0.539286	0.506283	-0.200257	
1.25	-0.000322277	0.0535797	0.227	-4.41082e-05	-0.0187603	0.227087	-0.000278168	0.07234	-8.68138e-05	0.0302127	0.0608842	0.310731	-0.02015	-0.115326	-0.00118924	-1.48506	-0.715048	0.505835	-0.0175067	-0.0721824	-0.00145922	-1.20139	-0.242099	0.242149	
1.275	-0.000207378	0.0510057	0.226993	7.07903e-05	-0.0213343	0.22708	-0.000278168	0.07234	-8.68138e-05	0.030186	0.0570463	0.310735	-0.00106945	-0.153518	0.000142944	0.763221	-1.52765	0.0532874	0.00459594	-0.102957	-0.00028007	0.884104	-1.23098	0.0471661	
1.3	-0.000164505	0.0482745	0.227105	0.000113663	-0.0240655	0.227192	-0.000278168	0.07234	-8.68138e-05	0.0301661	0.0532176	0.310777	-0.000794168	-0.153149	0.00166546	0.0110113	0.0147603	0.0609006	0.00171491	-0.109251	0.00447866	-0.115241	-0.251749	0.190349	
1.325	-0.000233988	0.0458041	0.227171	4.41806e-05	-0.0265359	0.227258	-0.000278168	0.07234	-8.68138e-05	0.0301392	0.0493917	0.310808	-0.00107622	-0.153034	0.00124506	-0.0112821	0.00457402	-0.0168158	-0.00277929	-0.0988143	0.00265813	-0.179768	0.417454	-0.0728212	
1.35	-0.000183083	0.0421824	0.22715	9.5085e-05	-0.0301576	0.227236	-0.000278168	0.07234	-8.68138e-05	0.0301303	0.0441428	0.310757	-0.000355018	-0.209955	-0.00203361	0.0288481	-2.27683	-0.131147	0.00203618	-0.144867	-0.000872195	0.192619	-1.84212	-0.141213	
1.375	-0.000797374	0.0388896	0.227334	-0.000519205	-0.0334504	0.227421	-0.000278168	0.07234	-8.68138e-05	0.0291847	0.0393746	0.311064	-0.0378271	-0.190731	0.0122963	-1.49888	0.768972	0.573198	-0.0245716	-0.131714	0.00738695	-1.06431	0.526146	0.330366	
1.4	-0.000855342	0.0352918	0.227231	-0.000577174	-0.0370482	0.227318	-0.000278168	0.07234	-8.68138e-05	0.029182	0.0341244	0.310992	-0.000105691	-0.210007	-0.00288904	1.50886	-0.771059	-0.607415	-0.00231874	-0.143912	-0.00413309	0.890115	-0.487928	-0.460801	
1.425	-0.00127739	0.0316714	0.227146	-0.000999223	-0.0406686	0.227233	-0.000278168	0.07234	-8.68138e-05	0.0287083	0.0288723	0.310899	-0.0189495	-0.210085	-0.0037105	-0.753753	-0.0031239	-0.0328584	-0.016882	-0.144817	-0.00338609	-0.582529	-0.0362145	0.0298796	
1.45	-0.00161012	0.027447	0.227035	-0.00133195	-0.044893	0.227121	-0.000278168	0.07234	-8.68138e-05	0.0282568	0.0226526	0.310885	-0.0180611	-0.248785	-0.000583011	0.0355356	-1.54799	0.1251	-0.0133091	-0.168975	-0.00447001	0.142913	-0.966296	-0.0433566	
1.475	-0.00117317	0.0245028	0.227273	-0.000894998	-0.0478372	0.22736	-0.000278168	0.07234	-8.68138e-05	0.0287852	0.0183244	0.31118	0.0211384	-0.173129	0.0118166	1.56798	3.02623	0.495986	0.0174781	-0.117768	0.00954452	1.23149	2.04827	0.560581	
